Date,Close
14/01/2018,3366
16/01/2018,3316
17/01/2018,3266
18/01/2018,3216
19/01/2018,3291
20/01/2018,3241
21/01/2018,3491
22/01/2018,3441
23/01/2018,3666
24/01/2018,3616
25/01/2018,3566
26/01/2018,3516
27/01/2018,3466
28/01/2018,3416
29/01/2018,3366
30/01/2018,3421
31/01/2018,3646
01/02/2018,3596
02/02/2018,3546
03/02/2018,3496
04/02/2018,3446
05/02/2018,3396
06/02/2018,3346
08/02/2018,3296
09/02/2018,3246
10/02/2018,3196
11/02/2018,3146
12/02/2018,3096
13/02/2018,3046
14/02/2018,3115
15/02/2018,3665
16/02/2018,3615
17/02/2018,3565
18/02/2018,3515
19/02/2018,3465
20/02/2018,3415
21/02/2018,3365
22/02/2018,3315
23/02/2018,3390
24/02/2018,3790
25/02/2018,3965
26/02/2018,3915
27/02/2018,3865
28/02/2018,4165
03/03/2018,4265
04/03/2018,4215
05/03/2018,4165
06/03/2018,4415
07/03/2018,4490
08/03/2018,4440
09/03/2018,4390
11/03/2018,4740
12/03/2018,4690
13/03/2018,4640
14/03/2018,4590
15/03/2018,4540
16/03/2018,4790
17/03/2018,5115
19/03/2018,5165
20/03/2018,5115
21/03/2018,5065
22/03/2018,5015
23/03/2018,4965
24/03/2018,5215
25/03/2018,5165
26/03/2018,5340
27/03/2018,5290
28/03/2018,5240
29/03/2018,5190
30/03/2018,5140
31/03/2018,5090
01/04/2018,5040
03/04/2018,4990
04/04/2018,4940
05/04/2018,4890
06/04/2018,5015
07/04/2018,4965
08/04/2018,4915
10/04/2018,4865
11/04/2018,5215
12/04/2018,5165
13/04/2018,5715
14/04/2018,5665
16/04/2018,5865
17/04/2018,5815
18/04/2018,5765
19/04/2018,5715
20/04/2018,5665
21/04/2018,5965
22/04/2018,6165
23/04/2018,6115
24/04/2018,6065
25/04/2018,6015
26/04/2018,5965
27/04/2018,5915
28/04/2018,6315
29/04/2018,6265
30/04/2018,6215
01/05/2018,6165
02/05/2018,6115
03/05/2018,6290
04/05/2018,6240
05/05/2018,6190
06/05/2018,6240
07/05/2018,6190
08/05/2018,6140
09/05/2018,6090
11/05/2018,6040
12/05/2018,5990
13/05/2018,6065
14/05/2018,6015
15/05/2018,6215
16/05/2018,6415
17/05/2018,6365
18/05/2018,6315
19/05/2018,6265
20/05/2018,6215
21/05/2018,6165
22/05/2018,6303
23/05/2018,6253
24/05/2018,6203
25/05/2018,6278
26/05/2018,6453
27/05/2018,6534
28/05/2018,6484
29/05/2018,6434
30/05/2018,6384
31/05/2018,6334
