le, lx, se, sx, bw, bsdd, bsdu, total_profit
2, 2, 2, 2, 15, 1.50, 1.50, 9568.42
2, 2, 2, 2, 16, 1.00, 1.00, 9559.48
2, 2, 2, 2, 16, 1.00, 1.50, 9555.51
2, 2, 2, 2, 16, 1.50, 1.00, 9571.55
2, 2, 2, 2, 16, 1.50, 1.50, 9567.58
2, 2, 2, 2, 17, 1.00, 1.00, 9545.68
2, 2, 2, 2, 17, 1.00, 1.50, 9542.61
2, 2, 2, 2, 17, 1.50, 1.00, 9566.88
2, 2, 2, 2, 17, 1.50, 1.50, 9563.81
2, 2, 2, 2, 18, 1.00, 1.00, 9554.84
2, 2, 2, 2, 18, 1.00, 1.50, 9545.87
2, 2, 2, 2, 18, 1.50, 1.00, 9576.04
2, 2, 2, 2, 18, 1.50, 1.50, 9567.07
2, 2, 2, 2, 19, 1.00, 1.00, 9568.66
2, 2, 2, 2, 19, 1.00, 1.50, 9547.50
2, 2, 2, 2, 19, 1.50, 1.00, 9588.23
2, 2, 2, 2, 19, 1.50, 1.50, 9567.07
2, 2, 2, 2, 20, 1.00, 1.00, 9587.31
2, 2, 2, 2, 20, 1.00, 1.50, 9554.68
2, 2, 2, 2, 20, 1.50, 1.00, 9599.70
2, 2, 2, 2, 20, 1.50, 1.50, 9567.07
2, 2, 2, 2, 21, 1.00, 1.00, 9590.13
2, 2, 2, 2, 21, 1.00, 1.50, 9551.07
2, 2, 2, 2, 21, 1.50, 1.00, 9606.13
2, 2, 2, 2, 21, 1.50, 1.50, 9567.07
2, 2, 2, 2, 22, 1.00, 1.00, 9596.92
2, 2, 2, 2, 22, 1.00, 1.50, 9548.79
2, 2, 2, 2, 22, 1.50, 1.00, 9615.20
2, 2, 2, 2, 22, 1.50, 1.50, 9567.07
2, 2, 2, 2, 23, 1.00, 1.00, 9606.32
2, 2, 2, 2, 23, 1.00, 1.50, 9548.79
2, 2, 2, 2, 23, 1.50, 1.00, 9626.94
2, 2, 2, 2, 23, 1.50, 1.50, 9569.41
2, 2, 2, 2, 24, 1.00, 1.00, 9587.86
2, 2, 2, 2, 24, 1.00, 1.50, 9540.84
2, 2, 2, 2, 24, 1.50, 1.00, 9612.65
2, 2, 2, 2, 24, 1.50, 1.50, 9565.63
2, 2, 2, 2, 25, 1.00, 1.00, 9576.49
2, 2, 2, 2, 25, 1.00, 1.50, 9529.99
2, 2, 2, 2, 25, 1.50, 1.00, 9610.10
2, 2, 2, 2, 25, 1.50, 1.50, 9563.60
2, 2, 3, 1, 15, 1.00, 1.00, 9849.22
2, 2, 3, 1, 15, 1.00, 1.50, 9849.22
2, 2, 3, 1, 15, 1.50, 1.00, 9858.00
2, 2, 3, 1, 15, 1.50, 1.50, 9858.00
2, 2, 3, 1, 16, 1.00, 1.00, 9845.09
2, 2, 3, 1, 16, 1.00, 1.50, 9845.09
2, 2, 3, 1, 16, 1.50, 1.00, 9857.16
2, 2, 3, 1, 16, 1.50, 1.50, 9857.16
2, 2, 3, 1, 17, 1.00, 1.00, 9832.19
2, 2, 3, 1, 17, 1.00, 1.50, 9832.19
2, 2, 3, 1, 17, 1.50, 1.00, 9853.39
2, 2, 3, 1, 17, 1.50, 1.50, 9853.39
2, 2, 3, 1, 18, 1.00, 1.00, 9843.67
2, 2, 3, 1, 18, 1.00, 1.50, 9835.45
2, 2, 3, 1, 18, 1.50, 1.00, 9864.87
2, 2, 3, 1, 18, 1.50, 1.50, 9856.65
2, 2, 3, 1, 19, 1.00, 1.00, 9846.31
